campaign_platform,device,age,spends,impressions,clicks
Google Ads,Desktop,45-54,11.84,5,1
Google Ads,Desktop,Undetermined,468.13,123,19
Google Ads,Mobile,18-24,2052.33,148,36
Google Ads,Mobile,25-34,1548.22,133,31
Google Ads,Mobile,35-44,437.33,40,7
Google Ads,Mobile,45-54,0,4,0
Google Ads,Mobile,55-64,0,1,0
Google Ads,Mobile,65 or more,58.8,4,1
Google Ads,Mobile,Undetermined,3773.51,709,142
Google Ads,Tablet,Undetermined,0,1,0
Google Ads,Desktop,18-24,200.94,52,16
Google Ads,Desktop,25-34,657.06,170,44
Google Ads,Desktop,35-44,612.82,83,26
Google Ads,Desktop,45-54,48.18,23,4
Google Ads,Desktop,55-64,20.41,5,2
Google Ads,Desktop,65 or more,11.3,9,2
Google Ads,Desktop,Undetermined,469.64,138,34
Google Ads,Mobile,18-24,822.66,301,110
Google Ads,Mobile,25-34,590.65,411,116
Google Ads,Mobile,35-44,140.46,149,37
Google Ads,Mobile,45-54,21.11,33,7
Google Ads,Mobile,55-64,8.07,6,2
Google Ads,Mobile,65 or more,109.63,17,7
Google Ads,Mobile,Undetermined,168.1,335,47
Google Ads,Tablet,18-24,0,5,0
Google Ads,Tablet,25-34,0,1,0
Google Ads,Tablet,45-54,0.86,2,2
Google Ads,Tablet,Undetermined,19.28,3,1
Google Ads,Desktop,18-24,0,2,0
Google Ads,Desktop,25-34,65.21,14,5
Google Ads,Desktop,35-44,0,3,0
Google Ads,Desktop,45-54,0,1,0
Google Ads,Desktop,Undetermined,74.64,11,2
Google Ads,Mobile,18-24,101.77,20,10
Google Ads,Mobile,25-34,36.13,10,5
Google Ads,Mobile,35-44,2.86,5,3
Google Ads,Mobile,55-64,0,1,0
Google Ads,Mobile,65 or more,0,1,0
Google Ads,Mobile,Undetermined,25.27,36,4
Google Ads,Tablet,65 or more,0.43,1,1
Google Ads,Desktop,18-24,147.84,18,3
Google Ads,Desktop,25-34,282.57,69,5
Google Ads,Desktop,35-44,403.19,37,7
Google Ads,Desktop,45-54,69.97,4,1
Google Ads,Desktop,55-64,0,3,0
Google Ads,Desktop,65 or more,0,3,0
Google Ads,Desktop,Undetermined,106.06,39,2
Google Ads,Mobile,18-24,494.96,122,20
Google Ads,Mobile,25-34,535.36,178,26
Google Ads,Mobile,35-44,201.04,82,8
Google Ads,Mobile,45-54,18.38,14,1
Google Ads,Mobile,55-64,0,7,0
Google Ads,Mobile,65 or more,0,7,0
Google Ads,Mobile,Undetermined,237.72,153,8
Google Ads,Tablet,25-34,90.13,2,1
Google Ads,Tablet,Undetermined,0,3,0
Google Ads,Desktop,18-24,147.6,14,3
Google Ads,Desktop,25-34,293.93,38,6
Google Ads,Desktop,35-44,127.38,17,4
Google Ads,Desktop,55-64,0,2,0
Google Ads,Desktop,65 or more,0,3,0
Google Ads,Desktop,Undetermined,137.18,22,2
Google Ads,Mobile,18-24,676.04,75,22
Google Ads,Mobile,25-34,443.05,67,17
Google Ads,Mobile,35-44,112.22,18,5
Google Ads,Mobile,45-54,95.12,11,2
Google Ads,Mobile,55-64,0,2,0
Google Ads,Mobile,65 or more,0,1,0
Google Ads,Mobile,Undetermined,464.88,278,19
Google Ads,Tablet,Undetermined,0,1,0
Google Ads,Desktop,18-24,293.14,44,9
Google Ads,Desktop,25-34,890.81,153,30
Google Ads,Desktop,35-44,349.54,71,13
Google Ads,Desktop,45-54,63.76,22,1
Google Ads,Desktop,55-64,0,9,0
Google Ads,Desktop,65 or more,0,7,0
Google Ads,Desktop,Undetermined,291.59,126,12
Google Ads,Mobile,18-24,422.59,369,47
Google Ads,Mobile,25-34,612.38,494,67
Google Ads,Mobile,35-44,197.54,163,22
Google Ads,Mobile,45-54,42.08,74,4
Google Ads,Mobile,55-64,9.19,13,1
Google Ads,Mobile,65 or more,52.95,37,4
Google Ads,Mobile,Undetermined,305.35,642,30
Google Ads,Tablet,25-34,9.05,2,1
Google Ads,Tablet,35-44,0,2,0
Google Ads,Tablet,Undetermined,0,3,0
Google Ads,Desktop,18-24,254.89,47,6
Google Ads,Desktop,25-34,545.2,110,18
Google Ads,Desktop,35-44,460.65,28,9
Google Ads,Desktop,45-54,22.76,10,2
Google Ads,Desktop,55-64,0,6,0
Google Ads,Desktop,65 or more,3.87,3,1
Google Ads,Desktop,Undetermined,1040,163,25
Google Ads,Mobile,18-24,2521.56,222,47
Google Ads,Mobile,25-34,1786.7,220,35
Google Ads,Mobile,35-44,519.15,72,13
Google Ads,Mobile,45-54,163.15,15,5
Google Ads,Mobile,55-64,3.84,5,1
Google Ads,Mobile,65 or more,112.36,11,2
Google Ads,Mobile,Undetermined,1700.92,837,82
Google Ads,Desktop,18-24,193.01,56,13
Google Ads,Desktop,25-34,560.15,159,35
Google Ads,Desktop,35-44,225.53,84,16
Google Ads,Desktop,45-54,203.2,24,10
Google Ads,Desktop,55-64,44.9,8,1
Google Ads,Desktop,65 or more,44.7,9,1
Google Ads,Desktop,Undetermined,371.85,130,26
Google Ads,Mobile,18-24,512.98,285,98
Google Ads,Mobile,25-34,581.26,404,105
Google Ads,Mobile,35-44,315.54,159,51
Google Ads,Mobile,45-54,44.09,48,13
Google Ads,Mobile,55-64,4.14,16,3
Google Ads,Mobile,65 or more,16.55,15,3
Google Ads,Mobile,Undetermined,236.32,342,65
Google Ads,Tablet,18-24,0,2,0
Google Ads,Tablet,35-44,2.23,5,1
Google Ads,Tablet,45-54,0.86,1,2
Google Ads,Tablet,Undetermined,5.37,1,1
Google Ads,Desktop,18-24,6.26,6,1
Google Ads,Desktop,25-34,12.14,9,5
Google Ads,Desktop,35-44,3.89,3,1
Google Ads,Desktop,55-64,0,1,0
Google Ads,Desktop,Undetermined,0,8,0
Google Ads,Mobile,18-24,39.58,15,6
Google Ads,Mobile,25-34,32.26,15,2
Google Ads,Mobile,35-44,3.33,2,2
Google Ads,Mobile,45-54,0,2,0
Google Ads,Mobile,Undetermined,5.13,34,2
Google Ads,Desktop,18-24,131.83,23,2
Google Ads,Desktop,25-34,340.91,71,6
Google Ads,Desktop,35-44,239.6,40,4
Google Ads,Desktop,45-54,71.84,10,1
Google Ads,Desktop,55-64,44.33,6,1
Google Ads,Desktop,65 or more,0,2,0
Google Ads,Desktop,Undetermined,0,44,0
Google Ads,Mobile,18-24,653.07,141,21
Google Ads,Mobile,25-34,489.4,279,21
Google Ads,Mobile,35-44,162.9,84,6
Google Ads,Mobile,45-54,67.7,26,3
Google Ads,Mobile,55-64,0,6,0
Google Ads,Mobile,65 or more,14.77,14,1
Google Ads,Mobile,Undetermined,242.91,206,9
Google Ads,Tablet,45-54,0,1,0
Google Ads,Tablet,Undetermined,0,1,0
Google Ads,Desktop,18-24,231.32,20,5
Google Ads,Desktop,25-34,258.31,22,5
Google Ads,Desktop,35-44,255.8,20,6
Google Ads,Desktop,45-54,0,9,0
Google Ads,Desktop,Undetermined,108.62,24,2
Google Ads,Mobile,18-24,796.8,82,27
Google Ads,Mobile,25-34,668.52,76,24
Google Ads,Mobile,35-44,176.91,27,8
Google Ads,Mobile,45-54,0,3,0
Google Ads,Mobile,65 or more,24.48,7,1
Google Ads,Mobile,Undetermined,469.26,303,17
Google Ads,Tablet,Undetermined,0,1,0
Google Ads,Desktop,18-24,83.02,31,3
Google Ads,Desktop,25-34,438.71,101,13
Google Ads,Desktop,35-44,341.89,72,9
Google Ads,Desktop,45-54,150.32,22,6
Google Ads,Desktop,55-64,61.46,7,1
Google Ads,Desktop,65 or more,24.4,4,1
Google Ads,Desktop,Undetermined,339.82,119,15
Google Ads,Mobile,18-24,486.23,389,50
Google Ads,Mobile,25-34,779.97,523,69
Google Ads,Mobile,35-44,301.61,188,28
Google Ads,Mobile,45-54,56.43,42,9
Google Ads,Mobile,55-64,42.21,24,5
Google Ads,Mobile,65 or more,51.31,27,5
Google Ads,Mobile,Undetermined,352.19,644,38
Google Ads,Tablet,18-24,0,2,0
Google Ads,Tablet,25-34,0,3,0
Google Ads,Tablet,55-64,0,1,0
Google Ads,Tablet,Undetermined,0,2,0
Google Ads,Desktop,18-24,323.76,42,9
Google Ads,Desktop,25-34,1023.25,85,21
Google Ads,Desktop,35-44,363.58,49,10
Google Ads,Desktop,45-54,30.33,10,2
Google Ads,Desktop,55-64,0,2,0
Google Ads,Desktop,65 or more,0,4,0
Google Ads,Desktop,Undetermined,471.88,162,18
Google Ads,Mobile,18-24,2464.16,210,54
Google Ads,Mobile,25-34,2090.58,205,45
Google Ads,Mobile,35-44,307.71,57,6
Google Ads,Mobile,45-54,132.99,15,3
Google Ads,Mobile,55-64,0,4,0
Google Ads,Mobile,65 or more,0,8,0
Google Ads,Mobile,Undetermined,1668.32,549,54
Google Ads,Tablet,25-34,74.6,3,2
Google Ads,Tablet,Undetermined,0,1,0
Google Ads,Desktop,18-24,154.41,40,9
Google Ads,Desktop,25-34,330.93,100,30
Google Ads,Desktop,35-44,70.56,37,9
Google Ads,Desktop,45-54,43.63,20,8
Google Ads,Desktop,55-64,0,1,0
Google Ads,Desktop,65 or more,0,4,0
Google Ads,Desktop,Undetermined,123.26,56,7
Google Ads,Mobile,18-24,278.36,150,40
Google Ads,Mobile,25-34,287.06,229,62
Google Ads,Mobile,35-44,86.31,88,21
Google Ads,Mobile,45-54,12.62,30,5
Google Ads,Mobile,55-64,0,13,0
Google Ads,Mobile,65 or more,0.52,16,2
Google Ads,Mobile,Undetermined,158.79,289,34
Google Ads,Tablet,25-34,0,3,0
Google Ads,Tablet,35-44,0,2,0
Google Ads,Tablet,45-54,10.58,1,1
Google Ads,Desktop,18-24,0,2,0
Google Ads,Desktop,25-34,70.97,8,4
Google Ads,Desktop,35-44,5.56,6,1
Google Ads,Desktop,45-54,0,1,0
Google Ads,Desktop,Undetermined,19.27,6,1
Google Ads,Mobile,18-24,25.07,10,3
Google Ads,Mobile,25-34,49.8,16,9
Google Ads,Mobile,35-44,30.96,6,3
Google Ads,Mobile,45-54,0,1,0
Google Ads,Mobile,65 or more,6.72,2,2
Google Ads,Mobile,Undetermined,1.44,26,1
Google Ads,Desktop,18-24,38.03,14,1
Google Ads,Desktop,25-34,265.74,59,6
Google Ads,Desktop,35-44,147,17,2
Google Ads,Desktop,45-54,21.17,8,1
Google Ads,Desktop,55-64,0,4,0
Google Ads,Desktop,65 or more,0,1,0
Google Ads,Desktop,Undetermined,127.64,31,2
Google Ads,Mobile,18-24,358.17,110,13
Google Ads,Mobile,25-34,650.84,194,23
Google Ads,Mobile,35-44,241.11,62,11
Google Ads,Mobile,45-54,0,13,0
Google Ads,Mobile,55-64,0,2,0
Google Ads,Mobile,65 or more,19.97,10,4
Google Ads,Mobile,Undetermined,413.74,179,13
Google Ads,Tablet,25-34,0,1,0
Google Ads,Tablet,45-54,89.97,1,1
Google Ads,Desktop,18-24,146.1,16,5
Google Ads,Desktop,25-34,229.97,21,4
Google Ads,Desktop,35-44,168.57,10,5
Google Ads,Desktop,45-54,0,2,0
Google Ads,Desktop,65 or more,0,1,0
Google Ads,Desktop,Undetermined,94.56,22,4
Google Ads,Mobile,18-24,437.22,85,17
Google Ads,Mobile,25-34,437.38,54,14
Google Ads,Mobile,35-44,163.44,23,6
Google Ads,Mobile,45-54,101.85,10,2
Google Ads,Mobile,Undetermined,788.76,242,17
Google Ads,Desktop,18-24,174.11,33,4
Google Ads,Desktop,25-34,485.25,115,15
Google Ads,Desktop,35-44,675.41,67,15
Google Ads,Desktop,45-54,192.19,18,6
Google Ads,Desktop,55-64,0,14,0
Google Ads,Desktop,65 or more,0,4,0
Google Ads,Desktop,Undetermined,279.48,121,11
Google Ads,Mobile,18-24,333.75,253,35
Google Ads,Mobile,25-34,601.86,360,54
Google Ads,Mobile,35-44,247.75,157,31
Google Ads,Mobile,45-54,55.46,46,7
Google Ads,Mobile,55-64,6.81,22,1
Google Ads,Mobile,65 or more,18.28,20,4
Google Ads,Mobile,Undetermined,227.49,534,29
Google Ads,Tablet,18-24,68.06,1,1
Google Ads,Tablet,65 or more,0,1,0
Google Ads,Tablet,Undetermined,11,3,1
Google Ads,Desktop,18-24,229.56,42,4
Google Ads,Desktop,25-34,518.68,85,14
Google Ads,Desktop,35-44,184.76,22,3
Google Ads,Desktop,45-54,0,17,0
Google Ads,Desktop,55-64,37.7,1,1
Google Ads,Desktop,65 or more,0,2,0
Google Ads,Desktop,Undetermined,275.42,68,10
Google Ads,Mobile,18-24,2904.62,219,55
Google Ads,Mobile,25-34,1914.95,213,45
Google Ads,Mobile,35-44,493.4,86,10
Google Ads,Mobile,45-54,134.19,10,2
Google Ads,Mobile,55-64,0,1,0
Google Ads,Mobile,65 or more,0,3,0
Google Ads,Mobile,Undetermined,2051.88,496,49
Google Ads,Tablet,45-54,0,1,0
Google Ads,Desktop,18-24,122.51,32,6
Google Ads,Desktop,25-34,554.61,166,31
Google Ads,Desktop,35-44,235.93,103,19
Google Ads,Desktop,45-54,180.19,39,15
Google Ads,Desktop,55-64,7.44,5,2
Google Ads,Desktop,65 or more,0,8,0
Google Ads,Desktop,Undetermined,209.75,115,17
Google Ads,Mobile,18-24,507.64,283,84
Google Ads,Mobile,25-34,753.73,461,124
Google Ads,Mobile,35-44,151.62,152,33
Google Ads,Mobile,45-54,73.49,41,9
Google Ads,Mobile,55-64,14.1,13,5
Google Ads,Mobile,65 or more,46,25,5
Google Ads,Mobile,Undetermined,267.22,383,55
Google Ads,Tablet,18-24,0,1,0
Google Ads,Tablet,25-34,0,3,0
Google Ads,Tablet,35-44,0,2,0
Google Ads,Tablet,45-54,0,2,0
Google Ads,Tablet,65 or more,0,2,0
Google Ads,Desktop,18-24,11.79,2,1
Google Ads,Desktop,25-34,28.49,6,3
Google Ads,Desktop,35-44,6.78,5,1
Google Ads,Desktop,Undetermined,5.46,6,1
Google Ads,Mobile,18-24,8.09,11,3
Google Ads,Mobile,25-34,0.98,12,2
Google Ads,Mobile,35-44,2.58,2,1
Google Ads,Mobile,65 or more,0,1,0
Google Ads,Mobile,Undetermined,11.9,33,4
Google Ads,Desktop,18-24,273.14,35,5
Google Ads,Desktop,25-34,911.25,144,13
Google Ads,Desktop,35-44,148.33,34,2
Google Ads,Desktop,45-54,0,15,0
Google Ads,Desktop,55-64,88.76,4,1
Google Ads,Desktop,65 or more,69.12,5,1
Google Ads,Desktop,Undetermined,322.51,80,6
Google Ads,Mobile,18-24,854.15,171,29
Google Ads,Mobile,25-34,669.4,337,35
Google Ads,Mobile,35-44,324.4,95,12
Google Ads,Mobile,45-54,75.71,31,3
Google Ads,Mobile,55-64,0,9,0
Google Ads,Mobile,65 or more,14.19,15,1
Google Ads,Mobile,Undetermined,152.88,288,9
Google Ads,Tablet,25-34,0,5,0
Google Ads,Tablet,35-44,0,2,0
Google Ads,Desktop,18-24,34.91,13,2
Google Ads,Desktop,25-34,473.08,44,10
Google Ads,Desktop,35-44,25.63,9,1
Google Ads,Desktop,45-54,0,6,0
Google Ads,Desktop,55-64,0,2,0
Google Ads,Desktop,65 or more,0,3,0
Google Ads,Desktop,Undetermined,127.09,30,2
Google Ads,Mobile,18-24,504.75,88,20
Google Ads,Mobile,25-34,450.15,79,19
Google Ads,Mobile,35-44,119.19,24,7
Google Ads,Mobile,45-54,0,6,0
Google Ads,Mobile,55-64,0,1,0
Google Ads,Mobile,65 or more,0,1,0
Google Ads,Mobile,Undetermined,589.68,247,17
Google Ads,Desktop,18-24,148.03,15,6
Google Ads,Desktop,25-34,595.48,109,15
Google Ads,Desktop,35-44,161.79,59,4
Google Ads,Desktop,45-54,120.97,20,4
Google Ads,Desktop,55-64,0,5,0
Google Ads,Desktop,65 or more,45.78,11,1
Google Ads,Desktop,Undetermined,446.89,103,13
Google Ads,Mobile,18-24,462.14,291,35
Google Ads,Mobile,25-34,879.93,386,65
Google Ads,Mobile,35-44,300.23,155,23
Google Ads,Mobile,45-54,65.38,46,5
Google Ads,Mobile,55-64,20.27,8,2
Google Ads,Mobile,65 or more,23.96,20,3
Google Ads,Mobile,Undetermined,246.33,416,21
Google Ads,Tablet,25-34,0,6,0
Google Ads,Tablet,35-44,0,3,0
Google Ads,Desktop,18-24,687.14,71,16
Google Ads,Desktop,25-34,1246.46,171,30
Google Ads,Desktop,35-44,389.18,44,10
Google Ads,Desktop,45-54,142.52,15,5
Google Ads,Desktop,55-64,0,4,0
Google Ads,Desktop,65 or more,81.86,6,2
Google Ads,Desktop,Undetermined,1019.93,162,27
Google Ads,Mobile,18-24,4241.25,357,86
Google Ads,Mobile,25-34,2922.36,339,68
Google Ads,Mobile,35-44,825.61,115,20
Google Ads,Mobile,45-54,402.81,58,13
Google Ads,Mobile,55-64,16.39,7,2
Google Ads,Mobile,65 or more,218.33,17,5
Google Ads,Mobile,Undetermined,2998.1,851,85
Google Ads,Tablet,25-34,0,3,0
Google Ads,Desktop,18-24,178.95,46,13
Google Ads,Desktop,25-34,838.78,185,47
Google Ads,Desktop,35-44,365.72,103,26
Google Ads,Desktop,45-54,253.2,21,10
Google Ads,Desktop,55-64,64.7,7,2
Google Ads,Desktop,65 or more,12.72,8,3
Google Ads,Desktop,Undetermined,246.15,125,23
Google Ads,Mobile,18-24,526.31,266,71
Google Ads,Mobile,25-34,644.09,489,120
Google Ads,Mobile,35-44,210.98,159,51
Google Ads,Mobile,45-54,72.7,46,17
Google Ads,Mobile,55-64,6.57,20,3
Google Ads,Mobile,65 or more,80.61,40,12
Google Ads,Mobile,Undetermined,260.84,347,53
Google Ads,Tablet,18-24,3.34,4,1
Google Ads,Tablet,25-34,0,1,0
Google Ads,Tablet,45-54,37.68,3,2
Google Ads,Tablet,Undetermined,0.43,1,1
Google Ads,Desktop,18-24,0,1,0
Google Ads,Desktop,25-34,11.13,15,1
Google Ads,Desktop,35-44,14.68,3,1
Google Ads,Desktop,45-54,0,3,0
Google Ads,Desktop,55-64,1.61,1,1
Google Ads,Desktop,Undetermined,5.73,11,2
Google Ads,Mobile,18-24,27.38,14,6
Google Ads,Mobile,25-34,40.16,8,4
Google Ads,Mobile,35-44,67.47,4,1
Google Ads,Mobile,45-54,0,2,0
Google Ads,Mobile,Undetermined,0,31,0
Google Ads,Desktop,18-24,285.68,30,5
Google Ads,Desktop,25-34,867.56,111,16
Google Ads,Desktop,35-44,358.31,34,5
Google Ads,Desktop,45-54,68.67,17,1
Google Ads,Desktop,55-64,0,5,0
Google Ads,Desktop,65 or more,0,6,0
Google Ads,Desktop,Undetermined,104.75,83,2
Google Ads,Mobile,18-24,929.66,165,25
Google Ads,Mobile,25-34,622.45,319,33
Google Ads,Mobile,35-44,194.8,111,11
Google Ads,Mobile,45-54,71.25,27,4
Google Ads,Mobile,55-64,22.95,10,1
Google Ads,Mobile,65 or more,72.95,24,1
Google Ads,Mobile,Undetermined,359.96,253,16
Google Ads,Tablet,45-54,0,1,0
Google Ads,Desktop,18-24,87.78,9,4
Google Ads,Desktop,25-34,347.73,35,10
Google Ads,Desktop,35-44,0,5,0
Google Ads,Desktop,45-54,128.1,4,2
Google Ads,Desktop,55-64,0,4,0
Google Ads,Desktop,65 or more,67.38,1,1
Google Ads,Desktop,Undetermined,111.88,27,4
Google Ads,Mobile,18-24,765.6,83,22
Google Ads,Mobile,25-34,430.17,84,17
Google Ads,Mobile,35-44,150.93,23,5
Google Ads,Mobile,45-54,38,6,2
Google Ads,Mobile,65 or more,47.81,3,1
Google Ads,Mobile,Undetermined,621.08,275,18
Google Ads,Desktop,18-24,506.45,38,15
Google Ads,Desktop,25-34,649.26,93,20
Google Ads,Desktop,35-44,249.83,55,11
Google Ads,Desktop,45-54,33.39,17,2
Google Ads,Desktop,55-64,54.69,10,1
Google Ads,Desktop,65 or more,33.62,6,1
Google Ads,Desktop,Undetermined,320.41,87,11
Google Ads,Mobile,18-24,528.65,342,45
Google Ads,Mobile,25-34,535.05,511,55
Google Ads,Mobile,35-44,227.02,195,28
Google Ads,Mobile,45-54,93.49,67,9
Google Ads,Mobile,55-64,38.06,17,3
Google Ads,Mobile,65 or more,22.57,33,3
Google Ads,Mobile,Undetermined,227.95,628,22
Google Ads,Tablet,25-34,0,1,0
Google Ads,Tablet,35-44,0,10,0
Google Ads,Desktop,18-24,328.52,64,9
Google Ads,Desktop,25-34,581.7,112,19
Google Ads,Desktop,35-44,271.77,56,8
Google Ads,Desktop,45-54,21.59,12,1
Google Ads,Desktop,55-64,0,2,0
Google Ads,Desktop,Undetermined,816.2,205,24
Google Ads,Mobile,18-24,4850.6,386,87
Google Ads,Mobile,25-34,3435,366,65
Google Ads,Mobile,35-44,1168.91,114,23
Google Ads,Mobile,45-54,208.44,48,9
Google Ads,Mobile,55-64,114.94,7,3
Google Ads,Mobile,65 or more,185.66,9,4
Google Ads,Mobile,Undetermined,3376.74,828,93
Google Ads,Tablet,25-34,13.86,1,1
Google Ads,Tablet,35-44,0,2,0
Google Ads,Tablet,Undetermined,0,1,0
Google Ads,Desktop,18-24,164.42,49,11
Google Ads,Desktop,25-34,423.61,110,24
Google Ads,Desktop,35-44,349.29,63,14
Google Ads,Desktop,45-54,81.87,15,4
Google Ads,Desktop,55-64,0,4,0
Google Ads,Desktop,65 or more,15.52,4,1
Google Ads,Desktop,Undetermined,301.88,77,14
Google Ads,Mobile,18-24,361.39,175,55
Google Ads,Mobile,25-34,392.57,260,90
Google Ads,Mobile,35-44,154.17,117,26
Google Ads,Mobile,45-54,41.32,27,8
Google Ads,Mobile,55-64,7.93,9,2
Google Ads,Mobile,65 or more,1.97,8,3
Google Ads,Mobile,Undetermined,154.23,290,40
Google Ads,Tablet,25-34,0.55,1,1
Google Ads,Tablet,35-44,0.43,1,1
Google Ads,Tablet,45-54,0,1,0
Google Ads,Tablet,Undetermined,0,1,0
Google Ads,Desktop,18-24,0,1,0
Google Ads,Desktop,25-34,11.46,5,2
Google Ads,Desktop,35-44,13.89,3,2
Google Ads,Desktop,Undetermined,20.12,6,2
Google Ads,Mobile,18-24,68.38,12,6
Google Ads,Mobile,25-34,11.52,8,5
Google Ads,Mobile,35-44,36.05,2,2
Google Ads,Mobile,Undetermined,0,22,0
Google Ads,Desktop,18-24,172.68,22,3
Google Ads,Desktop,25-34,344.53,63,6
Google Ads,Desktop,35-44,88.32,24,1
Google Ads,Desktop,45-54,143.27,11,2
Google Ads,Desktop,55-64,0,2,0
Google Ads,Desktop,65 or more,0,1,0
Google Ads,Desktop,Undetermined,127.11,50,2
Google Ads,Mobile,18-24,330.66,104,16
Google Ads,Mobile,25-34,860.66,238,32
Google Ads,Mobile,35-44,288.36,95,14
Google Ads,Mobile,45-54,208.91,23,6
Google Ads,Mobile,55-64,67.51,10,3
Google Ads,Mobile,65 or more,0,5,0
Google Ads,Mobile,Undetermined,152.03,171,12
Google Ads,Tablet,25-34,0,1,0
Google Ads,Desktop,18-24,0,7,0
Google Ads,Desktop,25-34,230.46,21,6
Google Ads,Desktop,35-44,87.74,12,1
Google Ads,Desktop,45-54,0,1,0
Google Ads,Desktop,Undetermined,0,16,0
Google Ads,Mobile,18-24,832.98,86,29
Google Ads,Mobile,25-34,584.89,67,22
Google Ads,Mobile,35-44,250.48,27,10
Google Ads,Mobile,45-54,0,4,0
Google Ads,Mobile,65 or more,45.24,2,2
Google Ads,Mobile,Undetermined,580.5,219,17
Google Ads,Desktop,18-24,95.25,38,2
Google Ads,Desktop,25-34,412,131,18
Google Ads,Desktop,35-44,482.78,52,13
Google Ads,Desktop,45-54,64.42,21,1
Google Ads,Desktop,55-64,10.35,5,1
Google Ads,Desktop,65 or more,44.11,4,2
Google Ads,Desktop,Undetermined,408.32,104,12
Google Ads,Mobile,18-24,345.11,302,30
Google Ads,Mobile,25-34,659,490,74
Google Ads,Mobile,35-44,296.97,172,19
Google Ads,Mobile,45-54,116.92,79,12
Google Ads,Mobile,55-64,32.18,17,3
Google Ads,Mobile,65 or more,184.34,24,7
Google Ads,Mobile,Undetermined,173.51,550,15
Google Ads,Tablet,18-24,0,2,0
Google Ads,Tablet,25-34,0,1,0
Google Ads,Tablet,35-44,45.81,2,2
Google Ads,Tablet,55-64,0,1,0
Google Ads,Tablet,Undetermined,0,3,0
Google Ads,Desktop,18-24,733.34,52,13
Google Ads,Desktop,25-34,1058.13,126,22
Google Ads,Desktop,35-44,320.1,35,6
Google Ads,Desktop,45-54,69.51,12,1
Google Ads,Desktop,55-64,73.93,4,1
Google Ads,Desktop,Undetermined,208.89,126,8
Google Ads,Mobile,18-24,4177.02,347,85
Google Ads,Mobile,25-34,3266.46,339,71
Google Ads,Mobile,35-44,985.4,91,20
Google Ads,Mobile,45-54,193.87,24,4
Google Ads,Mobile,55-64,0,2,0
Google Ads,Mobile,65 or more,73.84,8,1
Google Ads,Mobile,Undetermined,2975.19,803,77
Google Ads,Tablet,25-34,0,1,0
Google Ads,Tablet,35-44,20.14,1,1
Google Ads,Tablet,Undetermined,0,1,0
Google Ads,Mobile,35-44,0,3,0
Google Ads,Desktop,18-24,90.09,23,10
Google Ads,Desktop,25-34,144.77,62,17
Google Ads,Desktop,35-44,55.9,31,3
Google Ads,Desktop,45-54,46,7,2
Google Ads,Desktop,55-64,0,2,0
Google Ads,Desktop,65 or more,0,1,0
Google Ads,Desktop,Undetermined,48.17,67,9
Google Ads,Mobile,18-24,288.76,132,45
Google Ads,Mobile,25-34,264.63,243,56
Google Ads,Mobile,35-44,216.88,86,28
Google Ads,Mobile,45-54,7.79,20,3
Google Ads,Mobile,55-64,7.41,10,3
Google Ads,Mobile,65 or more,43.25,20,8
Google Ads,Mobile,Undetermined,129.27,212,30
Google Ads,Tablet,18-24,0,1,0
Google Ads,Tablet,25-34,0.43,1,1
Google Ads,Desktop,18-24,0,1,0
Google Ads,Desktop,25-34,7.4,1,1
Google Ads,Desktop,35-44,0,1,0
Google Ads,Desktop,Undetermined,0,5,0
Google Ads,Mobile,18-24,0.29,3,1
Google Ads,Mobile,25-34,10.16,13,5
Google Ads,Mobile,35-44,4.46,4,1
Google Ads,Mobile,65 or more,0,1,0
Google Ads,Mobile,Undetermined,0,30,0
Google Ads,Mobile,18-24,1.34,1,1
Google Ads,Mobile,25-34,9.68,3,2
Google Ads,Desktop,18-24,0,10,0
Google Ads,Desktop,25-34,239.8,51,3
Google Ads,Desktop,35-44,0,6,0
Google Ads,Desktop,45-54,73.36,5,2
Google Ads,Desktop,65 or more,0,1,0
Google Ads,Desktop,Undetermined,0,24,0
Google Ads,Mobile,18-24,448.65,93,14
Google Ads,Mobile,25-34,566.14,187,23
Google Ads,Mobile,35-44,137.27,57,6
Google Ads,Mobile,45-54,36.48,17,3
Google Ads,Mobile,55-64,0,2,0
Google Ads,Mobile,65 or more,0,5,0
Google Ads,Mobile,Undetermined,73.08,141,4
Google Ads,Desktop,18-24,23.74,5,1
Google Ads,Desktop,25-34,0,8,0
Google Ads,Desktop,35-44,0,4,0
Google Ads,Desktop,45-54,0,1,0
Google Ads,Desktop,Undetermined,110.81,22,1
Google Ads,Mobile,18-24,972.06,80,23
Google Ads,Mobile,25-34,573.87,58,14
Google Ads,Mobile,35-44,120.78,14,4
Google Ads,Mobile,45-54,20.71,5,1
Google Ads,Mobile,Undetermined,337.41,186,7
Google Ads,Tablet,18-24,0,3,0
Google Ads,Desktop,18-24,0,3,0
Google Ads,Desktop,25-34,43.02,4,1
Google Ads,Desktop,35-44,0,1,0
Google Ads,Desktop,45-54,0,1,0
Google Ads,Desktop,Undetermined,0,8,0
Google Ads,Mobile,18-24,53.56,19,2
Google Ads,Mobile,25-34,63.26,31,3
Google Ads,Mobile,35-44,17.02,10,1
Google Ads,Mobile,45-54,0,1,0
Google Ads,Mobile,55-64,0,1,0
Google Ads,Mobile,65 or more,0,6,0
Google Ads,Mobile,Undetermined,49.19,78,3
Google Ads,Desktop,18-24,119.2,55,6
